Search	VideoID	PublishedAt	ChannelId	ChannelTitle	Title	Description
www.ibict.br	PUTXI3azjsA	2021-03-29T13:46:13Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict com Ricardo Crisafulli	Na live desta semana, nossos convidados debatem o “Workshop Mapa Mundial de Bibliotecas da IFLA: Experiências com os ...
www.ibict.br	IRlF2GOn6dA	2020-06-10T20:13:57Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIBICT: QuartaÀsQuatro convida Washington Segundo e Leandro Ciuffo	No quadro QuartaÀsQuatro desta semana nossos convidados discutem o tema 'Infraestrutura de repositórios de pesquisas ...
www.ibict.br	R86gK-a5Mek	2020-12-15T18:04:13Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	Colóquio de Pós graduação &quot;Economia Circular - Uma análise crítica rumo à mudança de paradigma&quot;	Na LiveIbict desta semana, o Ibict apresenta o Colóquio de Pós-Doutorado com o tema 'Economia Circular - Uma análise crítica ...
www.ibict.br	tW_p7jZxf0E	2018-07-11T20:52:20Z	UCj0T5TXf9bYGnyrac-BOU0A	ACV Ibict	GCV2018: Cecília Leite, do IBICT	Depoimento gravado durante o VI Congresso Brasileiro sobre Gestão do Ciclo de Vida (GCV2018), realizado na Universidade de ...
www.ibict.br	lEz9LCPEBI4	2022-07-13T20:11:36Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	Organização e Métodos para Biblioteca Digital e vocabulário controlado OCID	Tema: Organização e Métodos para Biblioteca Digital e vocabulário controlado OCID Palestrante: com Ronnie Fagundes de Brito ...
www.ibict.br	jMlF3tR-QxQ	2017-04-24T17:49:27Z	UCck3nf3gX28YMmd0bM3TlDg	CindaLab 	Minicurso #5 - REGIMES EMERGENTES DE APROPRIAÇÃO DO CONHECIMENTO / Parte 01 (Allan Rocha)	MINICURSO Diálogos de pesquisa: ciência aberta, ciência cidadã, ciência comum .
www.ibict.br	j9dMhbG8GUg	2021-06-16T21:13:44Z	UCsYh70E1ktPDU92t8tX31_g	Instituto Brasileiro de Informação em Ciência e Tecnologia - IBICT	LiveIbict: Gestão, Arquivamento e Preservação de Mensagens de Correio Eletrônico	Na live desta semana, Miguel A. M. Arellano, Magda Almada Soares, Juan Voutssas Márquez, Natasha Hermida Pereira Castro ...
www.ibict.br	30Zr9-G0C9Q	2011-05-08T21:37:32Z	UCba9qpE9cpM8Yi6xZ_S5jXw	CyB3rGo7h	Vulnerabilidade - IBICT	Teste de vulnerabilidade do site IBICT - (Instituto Brasileiro de Informação em Ciência e Tecnologia).
www.ibict.br	OGKGjrnPzzM	2015-07-23T01:14:18Z	UCSv9d0kQegylHWpP83jWSQg	TV Brasil	IBICT lança portal que permite acesso gratuito a livros, artigos, teses e dissertações	Portal tem mais de um milhão de documentos e vai facilitar a vida de estudantes e pesquisadores. Ver episodio: ...
www.ibict.br	w_5qCr754co	2020-06-03T15:01:15Z	UCiV-uTh24olabCQ7mKkoacg	Soulcrespa Cintia Santos	#feminismonegro #naoasfakenews - Feminismo negro: a importância das fontes de informação confiáveis	Nesse vídeo falo da importância de utilizarmos fontes de informação confiáveis e validadas em nosso dia a dia, assim como em ...
